regressor,train_start,train_end,eval_end,h,rmse_regular,rmse_multiplicative,n_regular,n_multiplicative
Emply,1958Q1,1990Q4,2023Q4,1,1.2288458237551534,1.2051153034466613,132,132
Emply,1958Q1,1990Q4,2023Q4,2,1.1318861394352147,1.128573125261327,131,131
Emply,1958Q1,1990Q4,2023Q4,3,1.121166537881605,1.110965884712423,130,130
Emply,1958Q1,1990Q4,2023Q4,4,1.122374093788178,1.2447937327906102,129,129
Emply,1958Q1,1990Q4,2023Q4,5,1.1191327718303081,1.125033205272379,128,128
Emply,1958Q1,1990Q4,2023Q4,6,1.1188663718207492,1.3074950833964665,127,127
Emply,1958Q1,1990Q4,2023Q4,7,1.3104588230425056,1.1232218130831304,126,126
Emply,1958Q1,1990Q4,2023Q4,8,1.138318345518463,1.1252180055074446,125,125
Exptn,1978Q1,1990Q4,2023Q4,1,1.2951595768824413,1.2911504915618357,132,132
Exptn,1978Q1,1990Q4,2023Q4,2,1.102365958259645,1.0932700086456304,131,131
Exptn,1978Q1,1990Q4,2023Q4,3,1.0760771822005144,1.0759295969401672,130,130
Exptn,1978Q1,1990Q4,2023Q4,4,1.0824335853962987,1.0822492433897297,129,129
Exptn,1978Q1,1990Q4,2023Q4,5,1.0872930274740857,1.0872930274740857,128,128
Exptn,1978Q1,1990Q4,2023Q4,6,1.1025886963915206,1.10984170897008,127,127
Exptn,1978Q1,1990Q4,2023Q4,7,1.091487094200569,1.0924799903316431,126,126
Exptn,1978Q1,1990Q4,2023Q4,8,1.1056244921566067,1.1167741958271806,125,125
IP,1958Q1,1990Q4,2023Q4,1,1.2213384547408128,1.1487134866744422,132,132
IP,1958Q1,1990Q4,2023Q4,2,1.1358765934117707,1.1260676073968012,131,131
IP,1958Q1,1990Q4,2023Q4,3,1.1121581106158456,1.1367113843404795,130,130
IP,1958Q1,1990Q4,2023Q4,4,1.1033560667723483,1.108724987972521,129,129
IP,1958Q1,1990Q4,2023Q4,5,1.1142539977942587,1.0997186347770245,128,128
IP,1958Q1,1990Q4,2023Q4,6,1.1206035379699082,1.138396658499389,127,127
IP,1958Q1,1990Q4,2023Q4,7,1.1437527681760031,1.1046949245680482,126,126
IP,1958Q1,1990Q4,2023Q4,8,1.1506125202395796,1.1210948412522805,125,125
LEI,1958Q1,1990Q4,2023Q4,1,1.1416319616162927,1.1440893741634568,132,132
LEI,1958Q1,1990Q4,2023Q4,2,1.082167113504345,1.0872300727926225,131,131
LEI,1958Q1,1990Q4,2023Q4,3,1.0686837144826482,1.070667047327645,130,130
LEI,1958Q1,1990Q4,2023Q4,4,1.0845949162048352,1.0846112205272114,129,129
LEI,1958Q1,1990Q4,2023Q4,5,1.0990594833638434,1.0990633774934515,128,128
LEI,1958Q1,1990Q4,2023Q4,6,1.0955396943207383,1.0962930528911514,127,127
LEI,1958Q1,1990Q4,2023Q4,7,1.1114679151901312,1.1115880476594098,126,126
LEI,1958Q1,1990Q4,2023Q4,8,1.1143609841760784,1.1104324066487457,125,125
Manu,1967Q1,1990Q4,2023Q4,1,1.2064738987275758,1.2198249878400513,132,132
Manu,1967Q1,1990Q4,2023Q4,2,1.1053897583976593,1.1152675174698434,131,131
Manu,1967Q1,1990Q4,2023Q4,3,1.0933155393787735,1.0958204456942149,130,130
Manu,1967Q1,1990Q4,2023Q4,4,1.1015780651020752,1.111111269727683,129,129
Manu,1967Q1,1990Q4,2023Q4,5,1.1018659907027755,1.1058331931129342,128,128
Manu,1967Q1,1990Q4,2023Q4,6,1.1055088805902997,1.115729417984542,127,127
Manu,1967Q1,1990Q4,2023Q4,7,1.130524116787435,1.1245055206643422,126,126
Manu,1967Q1,1990Q4,2023Q4,8,1.146396974424966,1.1416099105695114,125,125
Oil,1982Q1,1992Q4,2023Q4,1,1.3539260653886076,1.3581682052970019,124,124
Oil,1982Q1,1992Q4,2023Q4,2,1.1495071398699988,1.1575769678765921,123,123
Oil,1982Q1,1992Q4,2023Q4,3,1.113143923023713,1.1288153503841027,122,122
Oil,1982Q1,1992Q4,2023Q4,4,1.1260565246590786,1.127224630874828,121,121
Oil,1982Q1,1992Q4,2023Q4,5,1.120698795619523,1.1231074603953726,120,120
Oil,1982Q1,1992Q4,2023Q4,6,1.1428888670252522,1.1480736257409103,119,119
Oil,1982Q1,1992Q4,2023Q4,7,1.135148136102225,1.1289804751794799,118,118
Oil,1982Q1,1992Q4,2023Q4,8,1.139134262237188,1.1358778887155307,117,117
PI,1958Q1,1990Q4,2023Q4,1,1.1385137815843118,1.1385633474515306,132,132
PI,1958Q1,1990Q4,2023Q4,2,1.1101375820916453,1.1111124033130737,131,131
PI,1958Q1,1990Q4,2023Q4,3,1.1039806594784172,1.090240353398671,130,130
PI,1958Q1,1990Q4,2023Q4,4,1.176341681421386,1.0990235602014087,129,129
PI,1958Q1,1990Q4,2023Q4,5,1.1016844485319661,1.1007295783857762,128,128
PI,1958Q1,1990Q4,2023Q4,6,1.118650456535401,1.1176252162832967,127,127
PI,1958Q1,1990Q4,2023Q4,7,1.1134953405500905,1.1010003044657564,126,126
PI,1958Q1,1990Q4,2023Q4,8,1.1267228635202957,1.1148207755378186,125,125
SP,1958Q1,1990Q4,2023Q4,1,1.196676158502205,1.2131718735996468,132,132
SP,1958Q1,1990Q4,2023Q4,2,1.107600333550711,1.105779837548398,131,131
SP,1958Q1,1990Q4,2023Q4,3,1.082357499944649,1.0888701264793414,130,130
SP,1958Q1,1990Q4,2023Q4,4,1.0940716557570977,1.0976199697316749,129,129
SP,1958Q1,1990Q4,2023Q4,5,1.0827082993728678,1.1104447082884912,128,128
SP,1958Q1,1990Q4,2023Q4,6,1.0920048184298459,1.124676733294969,127,127
SP,1958Q1,1990Q4,2023Q4,7,1.1028980475975363,1.0984496412099405,126,126
SP,1958Q1,1990Q4,2023Q4,8,1.1140187537498265,1.1395990402792011,125,125
