,label,1,2,3,4,5,6,7,8
0,Term Spread,,,,,,,,
1,State Space (m0),1.176776893026724,1.170467112864487,1.165939648019651,1.165509091987426,1.162218072704117,1.163140303481244,1.163356341405282,1.167786847154361
2,Regular Midas (m1),1.238050851104628,1.1562419769395709,1.119682802026632,1.122733797378666,1.1151425896402032,1.1055992394938827,1.0979519940410882,1.1109269155499208
3,Multiple Midas (m2),1.2373993277210165,1.1562419769395709,1.1178514015900822,1.1227814742932745,1.1151425896641494,1.0953791640940185,1.1002994032231557,1.115429979416801
4,Ratio (m0/m1),0.9505077210493951,1.0123029056275645,1.041312455553746,1.038099231276934,1.0422147656284049,1.052045137091178,1.0595694053284321,1.0511824232616545
5,Ratio (m0/m2),0.9510081884350592,1.0123029056275645,1.0430184605585018,1.0380551502428788,1.0422147656060248,1.0618608985896407,1.0573088906505002,1.0469387309859959
6,SP 500,,,,,,,,
7,State Space (m0),1.266054295785591,1.214129691381118,1.193530642710954,1.18109372537232,1.176125775845591,1.166518888187876,1.162870588993306,1.168197290962161
8,Regular Midas (m1),1.196676158502205,1.107600333550711,1.082357499944649,1.0940716557570975,1.0827082993728678,1.092004818429846,1.1028980475975363,1.1140187537498265
9,Multiple Midas (m2),1.2131718735996468,1.105779837548398,1.0888701264793414,1.0976199697316749,1.1104447082884912,1.124676733294969,1.0984496412099405,1.1395990402792011
10,Ratio (m0/m1),1.0579756994325196,1.0961803229951173,1.102713884065099,1.0795396436397058,1.0862812971202243,1.0682360265270359,1.0543772305394945,1.0486334157571113
11,Ratio (m0/m2),1.043590214492061,1.0979850148768675,1.0961184568172633,1.0760497785595602,1.0591484358175138,1.0372037169919235,1.0586471562887543,1.0250950112031976
12,Industrial Production,,,,,,,,
13,State Space (m0),1.276875536896414,1.247604408415688,1.224693490515794,1.207020397300749,1.197309317411126,1.175030307984083,1.166081678382586,1.171288369945617
14,Regular Midas (m1),1.2213384547408128,1.1358765934117707,1.1121581106158456,1.1033560667723483,1.1142539977942587,1.1206035379699082,1.1437527681760031,1.1506125202395796
15,Multiple Midas (m2),1.1487134866744422,1.1260676073968012,1.1367113843404797,1.108724987972521,1.0997186347770245,1.138396658499389,1.1046949245680482,1.1210948412522803
16,Ratio (m0/m1),1.0454723110862723,1.0983626352122695,1.1011864939218339,1.0939536507300407,1.0745389469378444,1.0485691577529503,1.019522497193333,1.0179694287541146
17,Ratio (m0/m2),1.111570075313562,1.107930287862423,1.0774005674504277,1.0886562586705804,1.0887415012785417,1.032180039541739,1.0555689651951112,1.0447718844529421
18,Employment,,,,,,,,
19,State Space (m0),1.28686446794362,1.195278621446182,1.192638905784554,1.182144690385585,1.173363872153766,1.165632253842197,1.162377642097098,1.168091263329664
20,Regular Midas (m1),1.2288458237551534,1.1318861394352149,1.121166537881605,1.122374093788178,1.119132771830308,1.1188663718207492,1.3104588230425056,1.138318345518463
21,Multiple Midas (m2),1.2051153034466613,1.128573125261327,1.110965884712423,1.2447937327906102,1.125033205272379,1.3074950833964665,1.1232218130831304,1.1252180055074446
22,Ratio (m0/m1),1.047213932835912,1.0560060590923026,1.0637482171364059,1.0532537207765302,1.0484581469585283,1.041797557956224,0.8870005082635057,1.0261551770015975
23,Ratio (m0/m2),1.0678351393125238,1.0591060470001967,1.0735153276945781,0.9496711457049378,1.0429593248047162,0.8915002959814168,1.03486028187655,1.0381021789665414
24,Expectations,,,,,,,,
25,State Space (m0),1.18120128272959,1.170988734250093,1.165950689033894,1.166054514461869,1.162011668528227,1.163301327048716,1.163387827932834,1.167846739594271
26,Regular Midas (m1),1.295159576882441,1.102365958259645,1.0760771822005144,1.0824335853962987,1.0872930274740855,1.1025886963915206,1.091487094200569,1.1056244921566067
27,Multiple Midas (m2),1.2911504915618357,1.0932700086456304,1.0759295969401672,1.0822492433897295,1.0872930274740855,1.10984170897008,1.0924799903316431,1.1167741958271806
28,Ratio (m0/m1),0.9120121595925975,1.062250449114726,1.0835195730566405,1.0772527111074026,1.0687198751082971,1.0550637158315623,1.0658741034266894,1.0562779206494377
29,Ratio (m0/m2),0.914844001879869,1.0710883176066839,1.083668199433994,1.0774362020431187,1.0687198751082971,1.048168687161925,1.06490538795101,1.045732202586631
30,Personal Income,,,,,,,,
31,State Space (m0),1.250633097209656,1.198031135964144,1.183848709566935,1.173559851062276,1.172100612946675,1.165340597424846,1.162863546499529,1.1680013347874
32,Regular Midas (m1),1.1385137815843118,1.1101375820916453,1.1039806594784172,1.176341681421386,1.101684448531966,1.118650456535401,1.1134953405500905,1.1267228635202955
33,Multiple Midas (m2),1.1385633474515306,1.1111124033130737,1.090240353398671,1.099023560201409,1.1007295783857762,1.1176252162832967,1.1010003044657564,1.1148207755378186
34,Ratio (m0/m1),1.0984786635338952,1.0791735684750856,1.0723455156598958,0.9976351850801132,1.0639168180222032,1.0417379178783426,1.0443362483448289,1.036635869035386
35,Ratio (m0/m2),1.0984308427009997,1.078226768409658,1.0858602929862695,1.0678204667852684,1.0648397535256249,1.0426935438162612,1.0561882151919937,1.0477032366246726
36,Crude Oil Price,,,,,,,,
37,State Space (m0),1.536778046864285,1.54886959438825,1.56324106909517,1.560872794390558,1.591990156673794,1.532758547229332,1.495165272608755,1.520144373255252
38,Regular Midas (m1),1.3539260653886076,1.1495071398699988,1.113143923023713,1.1260565246590786,1.120698795619523,1.1428888670252522,1.135148136102225,1.139134262237188
39,Multiple Midas (m2),1.358168205297002,1.157576967876592,1.1288153503841027,1.127224630874828,1.1231074603953726,1.1480736257409103,1.12898047517948,1.1358778887155307
40,Ratio (m0/m1),1.135053151091522,1.3474205950242435,1.404347664989111,1.386140713374156,1.42053347687747,1.3411265009684143,1.3171543211467764,1.3344734011158474
41,Ratio (m0/m2),1.1315078948768535,1.3380273082224743,1.3848510020378841,1.3847043008447926,1.417486939418387,1.3350699056780133,1.3243499825548892,1.3382991150345007
42,Leading Index,,,,,,,,
